mouse_ID,experimental_day,counts_live_bacteria_per_wet_g
ABX001,-7,388000000.0
ABX002,-7,71100000000.0
ABX003,-7,101000000000.0
ABX004,-7,11500000.0
ABX005,-7,38700000.0
ABX006,-7,254000000.0
ABX007,-7,331000000.0
ABX008,-7,20500000.0
ABX009,-7,39400000.0
ABX010,-7,1980000.0
ABX011,-7,15300000.0
ABX012,-7,31100000.0
ABX013,-7,18400000.0
ABX014,-7,28400000.0
ABX015,-7,607000000.0
ABX016,-7,14600000.0
ABX001,-3,2.38
ABX002,-3,142000000.0
ABX003,-3,245.0
ABX004,-3,123000000.0
ABX005,-3,104.0
ABX006,-3,5890000.0
ABX007,-3,320.0
ABX008,-3,465000.0
ABX009,-3,9.56
ABX010,-3,55700000.0
ABX011,-3,380.0
ABX012,-3,331000.0
ABX013,-3,7.8
ABX014,-3,8120000.0
ABX015,-3,69.0
ABX016,-3,16000000.0
ABX001,0,9230000.0
ABX002,0,25200.0
ABX003,0,26800000.0
ABX004,0,922.0
ABX005,0,309000000.0
ABX006,0,104.0
ABX007,0,83100000.0
ABX008,0,2.75
ABX009,0,9720000.0
ABX010,0,17.9
ABX011,0,232000000.0
ABX012,0,144.0
ABX013,0,9720000.0
ABX014,0,8530.0
ABX015,0,1010000000.0
ABX016,0,631000.0
ABX001,1,8900.0
ABX002,1,22.1
ABX003,1,916000.0
ABX004,1,8.74
ABX005,1,305000.0
ABX006,1,12.4
ABX007,1,1770.0
ABX008,1,6.36
ABX009,1,523000.0
ABX010,1,111.0
ABX011,1,38500.0
ABX012,1,24.3
ABX013,1,99300.0
ABX014,1,77.6
ABX015,1,3300.0
ABX016,1,4.29
